depmap_id,cell_line_name,ccle_name,tissue,pubchem_id,drug_name,cell_idx,drug_idx,pred_logIC50,true_logIC50,has_true_IC50
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,263,6,4.952789783477783,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,66,168,4.967827320098877,,False
ACH-000142,CAL-29,CAL29_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,66,86,4.979176044464111,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,200,49,5.013389587402344,,False
ACH-000242,RT4,RT4_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,116,168,5.017392635345459,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,11655119,LY2109761,263,23,5.020172119140625,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,3899,Leflunomide,263,77,5.043284893035889,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,200,168,5.056304931640625,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,263,86,5.060434341430664,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,411,86,5.081702709197998,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,200,6,5.085541248321533,,False
ACH-000973,639-V,639V_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,513,86,5.092871189117432,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,470,86,5.094332218170166,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,42623951,CZC24832,263,80,5.134196758270264,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,467,6,5.1615986824035645,,False
ACH-000905,5637,5637_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,470,168,5.174177646636963,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,284,49,5.233212471008301,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,284,6,5.2500128746032715,,False
ACH-000802,BFTC-905,BFTC905_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,411,168,5.25062894821167,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,467,49,5.271546363830566,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,1018,Picolinici-acid,263,2,5.2942633628845215,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,10459196,SL0101,369,6,5.305356025695801,,False
ACH-000396,J82,J82_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,200,86,5.305736541748047,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,2375,Bicalutamide,369,49,5.3057475090026855,,False
ACH-000522,UM-UC-3,UMUC3_URINARY_TRACT,URINARY_TRACT,78243717,PFI3,263,153,5.3566107749938965,,False
ACH-000566,SW-1710,SW1710_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,284,86,5.382457733154297,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,467,86,5.421021461486816,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,369,168,5.437000274658203,,False
ACH-000896,647-V,647V_URINARY_TRACT,URINARY_TRACT,9956119,CHIR-99021,467,168,5.452227592468262,,False
ACH-000720,TCCSUP,TCCSUP_URINARY_TRACT,URINARY_TRACT,444795,Tretinoin,369,86,5.527257442474365,,False
ACH-000018,T24,T24_URINARY_TRACT,URINARY_TRACT,70983932,GSK2830371,7,144,5.878905773162842,,False
