cell_line,drug_name,pred_logIC50,case
MDA-MB-157,Gemcitabine,2.137573719024658,BREAST
MDA-MB-175-VII,Gemcitabine,-0.8234599828720093,BREAST
UACC-893,Gemcitabine,0.9083093404769896,BREAST
EFM-19,Gemcitabine,-0.0161048471927642,BREAST
BT-483,Gemcitabine,-0.1114031970500946,BREAST
UACC-812,Gemcitabine,-0.1358114182949066,BREAST
HCC1500,Gemcitabine,1.1879122257232666,BREAST
HCC1599,Gemcitabine,0.878007173538208,BREAST
CAL-85-1,Gemcitabine,1.2126611471176147,BREAST
BT-474,Gemcitabine,1.1083611249923706,BREAST
MDA-MB-231,Gemcitabine,1.5589300394058228,BREAST
ZR-75-30,Gemcitabine,1.5640586614608765,BREAST
T-47D,Gemcitabine,2.363985538482666,BREAST
HCC1187,Epirubicin,-1.3314365148544312,BREAST
MDA-MB-436,Epirubicin,-1.390583872795105,BREAST
HCC1806,Epirubicin,-1.6543912887573242,BREAST
BT-549,Epirubicin,-1.3986716270446775,BREAST
MCF7,Epirubicin,-0.7918095588684082,BREAST
AU565,Epirubicin,-0.7272433042526245,BREAST
HCC1395,Epirubicin,-0.7484959363937378,BREAST
HCC1419,Epirubicin,-0.308952271938324,BREAST
MDA-MB-453,Epirubicin,-0.4034613668918609,BREAST
HDQ-P1,Epirubicin,-0.6053919792175293,BREAST
CAMA-1,Epirubicin,-0.2480193078517913,BREAST
HCC1954,Epirubicin,-0.1025702655315399,BREAST
EFM-192A,Epirubicin,-0.4724624454975128,BREAST
MDA-MB-468,Epirubicin,-0.1750948131084442,BREAST
Hs 578T,Epirubicin,-0.4430024921894073,BREAST
HCC2218,Epirubicin,-0.3479884266853332,BREAST
MDA-MB-361,Epirubicin,-0.4882762134075165,BREAST
HCC70,Epirubicin,-0.5439707040786743,BREAST
BT-20,Epirubicin,0.1848417818546295,BREAST
CAL-120,Epirubicin,-0.651229977607727,BREAST
Du4475,Epirubicin,0.5538851022720337,BREAST
HCC1569,Epirubicin,-0.0256703495979309,BREAST
CAL-51,Epirubicin,-0.4811457693576813,BREAST
HCC202,Epirubicin,-0.1915968343978975,BREAST
MDA-MB-415,Epirubicin,-0.8157687187194824,BREAST
HCC2157,Epirubicin,0.2103950679302215,BREAST
HCC1143,Epirubicin,-0.075989544391632,BREAST
HCC1428,Epirubicin,0.2871868908405304,BREAST
HCC1937,Epirubicin,0.0797534883022308,BREAST
MDA-MB-157,Epirubicin,0.3544032871723175,BREAST
MDA-MB-175-VII,Epirubicin,-0.203979879617691,BREAST
UACC-893,Epirubicin,0.2413776218891143,BREAST
EFM-19,Epirubicin,-0.1764155030250549,BREAST
BT-483,Epirubicin,0.1756359040737152,BREAST
UACC-812,Epirubicin,0.1512445509433746,BREAST
HCC1500,Epirubicin,0.2929095327854156,BREAST
HCC1599,Epirubicin,0.4834396541118622,BREAST
CAL-85-1,Epirubicin,0.6337780952453613,BREAST
BT-474,Epirubicin,0.8301273584365845,BREAST
MDA-MB-231,Epirubicin,0.5815235376358032,BREAST
ZR-75-30,Epirubicin,0.7173221111297607,BREAST
T-47D,Epirubicin,0.97872793674469,BREAST
HCC1187,Tanespimycin,-0.3785436451435089,BREAST
MDA-MB-436,Tanespimycin,-1.0269323587417605,BREAST
HCC1806,Tanespimycin,-0.90663480758667,BREAST
BT-549,Tanespimycin,-0.5599352121353149,BREAST
MCF7,Tanespimycin,-0.5709335803985596,BREAST
AU565,Tanespimycin,-0.8132578134536743,BREAST
HCC1395,Tanespimycin,-0.4012761414051056,BREAST
HCC1419,Tanespimycin,-0.3363775014877319,BREAST
MDA-MB-453,Tanespimycin,0.3118533492088318,BREAST
HDQ-P1,Tanespimycin,-0.1299900114536285,BREAST
CAMA-1,Tanespimycin,0.1830356866121292,BREAST
HCC1954,Tanespimycin,-0.1158396899700164,BREAST
EFM-192A,Tanespimycin,0.0041790604591369,BREAST
MDA-MB-468,Tanespimycin,-0.0467433482408523,BREAST
Hs 578T,Tanespimycin,0.0005745887756347,BREAST
HCC2218,Tanespimycin,0.1478223949670791,BREAST
MDA-MB-361,Tanespimycin,0.0337881073355674,BREAST
HCC70,Tanespimycin,-0.0790488272905349,BREAST
BT-20,Tanespimycin,-0.1156446933746337,BREAST
CAL-120,Tanespimycin,-0.0634508430957794,BREAST
Du4475,Tanespimycin,-0.0922215580940246,BREAST
HCC1569,Tanespimycin,0.2465773224830627,BREAST
CAL-51,Tanespimycin,-0.0439988523721694,BREAST
HCC202,Tanespimycin,0.13827243501820216,BREAST
MDA-MB-415,Tanespimycin,-0.4846384227275848,BREAST
HCC2157,Tanespimycin,0.3805957436561584,BREAST
HCC1143,Tanespimycin,0.1553991436958313,BREAST
HCC1428,Tanespimycin,0.5460289716720581,BREAST
HCC1937,Tanespimycin,0.3567825555801391,BREAST
MDA-MB-157,Tanespimycin,0.7800241708755493,BREAST
MDA-MB-175-VII,Tanespimycin,-0.0602156668901443,BREAST
UACC-893,Tanespimycin,-0.2708584070205688,BREAST
EFM-19,Tanespimycin,0.7865558862686157,BREAST
BT-483,Tanespimycin,0.5380845069885254,BREAST
UACC-812,Tanespimycin,0.7672635316848755,BREAST
HCC1500,Tanespimycin,0.9553606510162354,BREAST
HCC1599,Tanespimycin,1.3148043155670166,BREAST
CAL-85-1,Tanespimycin,0.6824444532394409,BREAST
BT-474,Tanespimycin,1.1439006328582764,BREAST
MDA-MB-231,Tanespimycin,0.8010637760162354,BREAST
ZR-75-30,Tanespimycin,1.0669796466827393,BREAST
T-47D,Tanespimycin,0.9625927209854126,BREAST
